Timestamp,FRUITS_VEGGIES,DAILY_STRESS,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,ACHIEVEMENT,DONATION,BMI_RANGE,TODO_COMPLETED,FLOW,DAILY_STEPS,LIVE_VISION,SLEEP_HOURS,LOST_VACATION,DAILY_SHOUTING,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_PASSION,WEEKLY_MEDITATION,AGE,GENDER
4/3/2024 9:07:09,0,2,10,5,4,8,9,3,2,3,2,7,1,7,7,3,1,7,6,0,Less than 20,Female
4/3/2024 9:08:12,3,10,5,5,8,10,7,4,1,7,10,7,4,3,3,4,1,3,6,4,Less than 20,Male
4/3/2024 9:13:32,1,3,7,3,2,10,2,1,1,7,2,6,0,0,0,10,1,2,0,2,Less than 20,Female
4/3/2024 9:14:48,4,10,8,5,9,10,10,6,2,7,4,6,2,10,10,0,2,5,4,3,Less than 20,Female
4/3/2024 9:15:02,5,2,10,3,10,7,4,6,1,7,3,6,2,0,0,5,2,10,2,4,Less than 20,Female
4/3/2024 9:18:10,3,3,10,9,10,6,5,2,1,1,4,10,0,10,10,4,2,5,2,3,21 to 35,Female
4/3/2024 9:21:07,1,1,10,6,10,10,5,2,1,7,4,10,2,0,0,0,2,3,5,2,Less than 20,Male
4/3/2024 9:22:41,1,6,10,10,10,10,7,2,1,7,6,2,10,10,10,5,2,10,1,3,21 to 35,Male
4/3/2024 9:26:42,2,5,10,2,3,3,5,2,1,9,5,9,0,0,0,10,1,10,3,7,Less than 20,Female
4/3/2024 9:26:49,1,10,4,0,5,1,0,2,1,1,0,6,0,0,0,0,2,10,0,10,21 to 35,Male
4/3/2024 9:27:00,3,7,5,4,3,6,1,3,1,4,2,7,0,10,10,2,1,1,0,3,Less than 20,Female
4/3/2024 9:33:50,1,1,7,2,10,10,2,6,1,8,4,8,5,10,10,2,2,7,5,7,21 to 35,Female
4/3/2024 9:34:58,1,2,10,4,4,6,2,4,1,9,3,5,3,3,3,3,2,10,3,3,Less than 20,Female
4/3/2024 9:35:19,1,3,10,5,3,7,2,3,1,5,0,8,0,0,0,10,1,10,6,3,Less than 20,Male
4/3/2024 9:35:19,1,10,1,0,5,0,3,1,1,5,6,9,0,10,10,0,1,1,0,0,Less than 20,Male
4/3/2024 9:36:35,1,9,10,8,1,8,1,6,1,7,0,5,0,9,9,10,1,3,0,1,Less than 20,Female
4/3/2024 9:44:57,1,2,7,3,3,6,7,1,1,7,6,10,7,0,0,0,1,2,5,7,Less than 20,Male
4/3/2024 9:49:59,1,1,4,10,3,5,5,0,1,7,2,5,6,0,0,1,1,10,2,7,21 to 35,Male
4/3/2024 10:09:23,1,1,9,7,3,5,3,2,1,10,3,5,2,0,0,3,1,10,2,5,Less than 20,Male
4/3/2024 10:18:22,0,4,10,9,10,5,2,6,1,6,3,10,1,0,0,4,1,4,4,5,21 to 35,Female
4/3/2024 10:19:00,2,2,4,6,7,10,5,3,1,8,3,10,3,0,0,2,1,10,1,4,Less than 20,Male
4/3/2024 10:20:55,2,6,10,6,4,7,6,6,1,5,3,5,1,3,3,5,1,10,1,2,21 to 35,Female
4/3/2024 10:28:35,1,3,6,3,1,6,2,3,1,8,3,5,0,0,0,0,2,4,3,1,21 to 35,Male
4/3/2024 10:28:58,2,9,8,10,10,10,8,6,2,8,3,1,10,10,10,3,2,10,8,1,36 to 50,Male
4/3/2024 10:33:14,1,5,5,5,10,10,5,6,1,7,5,1,3,10,10,2,2,10,5,3,36 to 50,Male
4/3/2024 11:00:25,4,5,7,6,2,3,1,6,1,6,2,2,0,0,0,4,1,2,1,2,Less than 20,Female
4/3/2024 11:08:34,0,3,10,5,5,2,4,5,1,5,3,5,1,10,10,2,2,3,2,0,21 to 35,Male
4/3/2024 11:18:15,6,7,6,5,10,3,3,1,1,8,5,2,0,10,10,1,1,2,1,1,21 to 35,Female
4/3/2024 11:38:30,1,4,10,3,2,10,3,6,1,4,4,5,2,0,0,4,2,6,1,2,21 to 35,Інше
4/3/2024 11:47:26,3,4,10,5,10,5,10,5,1,10,3,9,2,0,0,2,2,10,2,3,21 to 35,Female
4/3/2024 12:03:13,2,3,7,3,3,5,3,6,2,9,7,7,1,10,10,8,2,3,3,3,Less than 20,Female
4/3/2024 12:10:23,1,7,3,3,3,7,4,3,1,4,3,3,5,10,10,9,1,10,1,3,Less than 20,Female
4/3/2024 12:14:51,2,5,6,6,4,10,7,2,1,7,6,10,4,8,8,10,1,5,10,2,Less than 20,Female
4/3/2024 12:52:05,1,6,4,3,10,5,6,5,1,8,3,6,1,0,0,3,2,4,3,0,21 to 35,Female
4/3/2024 13:33:24,2,2,6,9,9,10,4,0,1,9,5,7,2,10,10,2,2,10,2,2,Less than 20,Female
4/3/2024 13:48:20,4,7,4,4,3,10,1,3,2,6,5,8,0,10,10,0,1,1,0,1,Less than 20,Male
4/3/2024 13:58:59,1,4,10,7,10,10,8,2,1,7,4,3,3,2,2,5,1,6,5,2,Less than 20,Female
4/3/2024 14:11:10,1,3,7,3,5,4,2,5,1,7,5,10,0,10,10,7,2,7,2,4,Less than 20,Male
4/3/2024 15:05:46,3,5,10,10,8,8,10,3,1,5,8,10,1,0,0,7,1,10,2,6,21 to 35,Male
4/3/2024 16:54:56,2,1,9,10,2,5,5,6,1,9,5,6,1,8,8,1,1,10,1,7,Less than 20,Female
4/3/2024 19:27:17,4,10,10,6,4,10,3,6,1,5,2,10,0,10,10,10,1,0,0,3,Less than 20,Male
4/3/2024 20:29:45,4,5,6,8,6,10,5,6,1,5,3,8,5,0,0,4,2,0,1,4,Less than 20,Female
4/3/2024 21:02:26,0,3,10,10,7,5,7,6,2,5,7,5,10,10,10,5,2,10,5,7,21 to 35,Female
4/3/2024 22:35:40,1,8,3,3,5,2,4,2,1,2,1,8,2,1,1,9,1,3,2,1,Less than 20,Male
4/3/2024 23:27:02,3,9,9,10,4,10,4,6,1,5,5,3,2,7,7,2,2,4,5,3,Less than 20,Female
4/4/2024 0:01:15,2,3,4,3,1,9,2,2,1,2,2,5,1,0,0,1,2,1,2,4,Less than 20,Female
4/4/2024 0:40:23,1,0,10,6,6,6,10,6,1,6,2,10,4,0,0,1,2,6,1,10,Less than 20,Male
4/4/2024 18:18:10,1,10,9,5,6,10,10,6,1,6,6,10,4,6,6,3,1,5,2,5,Less than 20,Female
4/4/2024 20:53:25,1,1,1,10,5,5,0,2,1,7,4,1,1,0,0,7,2,1,0,0,51 or more,Female
4/5/2024 11:40:02,2,2,10,7,5,4,2,1,1,8,5,5,1,10,10,5,2,4,4,4,36 to 50,Female
4/5/2024 16:57:23,3,5,10,4,5,5,4,1,1,5,3,10,1,10,10,7,1,3,10,7,21 to 35,Female
4/7/2024 17:55:15,2,3,8,5,6,10,6,2,1,9,7,8,5,10,10,3,1,5,5,6,Less than 20,Female
4/7/2024 18:12:21,5,4,4,10,5,10,10,5,2,7,3,6,8,7,7,8,1,6,6,8,Less than 20,Male
4/10/2024 5:33:35,0,2,3,2,3,3,5,2,1,10,10,1,0,10,10,10,1,0,5,1,21 to 35,Male